Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Psallus falleni	12085	Psallus (Psallus) falleni		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Psallus	Psallus	falleni		NBNSYS0000010152	NHMSYS0020309736	R	Taxon
Psallus flavellus	12086	Psallus (Psallus) flavellus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Fraxinus, Fraxinus excelsior	Psallus	Psallus	flavellus		NBNSYS0000010153	NHMSYS0020309737	R	Taxon
Psallus haematodes	12087	Psallus (Psallus) haematodes		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only			Phratora vulgatissima, Salix	Psallus	Psallus	haematodes		NBNSYS0000010154	NHMSYS0020309738	R	Taxon
Psallus lepidus	12088	Psallus (Psallus) lepidus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Fraxinus, Fraxinus excelsior	Psallus	Psallus	lepidus		NBNSYS0000010155	NHMSYS0020309739	R	Taxon
Psallus luridus	12082	Psallus (Pityopsallus) luridus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Larix, Plantae	Psallus	Pityopsallus	luridus		NBNSYS0000010161	NHMSYS0020309732	R	Taxon
Psallus mollis	12089	Psallus (Psallus) mollis		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Quercus	Psallus	Psallus	mollis		NBNSYS0000010159	NHMSYS0020309740	R	Taxon
Psallus perrisi	12076	Psallus (Hylopsallus) perrisi		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Psallus	Hylopsallus	perrisi		NBNSYS0000010148	NHMSYS0020309723	R	Taxon
Psallus pseudoplatani	12077	Psallus (Hylopsallus) pseudoplatani		Miridae	Hemiptera					herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre, Acer pseudoplatanus, Plantae	Psallus	Hylopsallus	pseudoplatani		NHMSYS0020920495	NHMSYS0020309724	R	Taxon
Psallus quercus	12081	Psallus (Phylidea) quercus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Psallus	Phylidea	quercus		NBNSYS0000010151	NHMSYS0020309730	U	Taxon
Psallus salicis	12090	Psallus (Psallus) salicis		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only			Alnus, Alnus glutinosa, Asteraceae	Psallus	Psallus	salicis		NBNSYS0000010156	NHMSYS0020309741	U	Taxon
Psallus variabilis	12078	Psallus (Hylopsallus) variabilis		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Psallus	Hylopsallus	variabilis		NBNSYS0000010149	NHMSYS0020309725	R	Taxon
Psallus varians	12091	Psallus (Psallus) varians		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Psallus	Psallus	varians		NBNSYS0000010160	NHMSYS0020309742	R	Taxon
