2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005106: rows ['14330', '14331']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080208: rows ['14338', '14339']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188641: rows ['13548', '13550']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188639: rows ['13549', '13550']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188644: rows ['13550', '13555']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000183369: rows ['13550', '13558']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000375615: rows ['13550', '13559']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020706176: rows ['13550', '13560']
2026-01-24 22:53:49,209 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188646: rows ['13552', '13553']
2026-01-24 22:53:49,211 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021053702: rows ['1086', '1112']
2026-01-24 22:53:49,211 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000040771: rows ['1100', '1112']
2026-01-24 22:53:49,211 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000178234: rows ['1112', '1121']
2026-01-24 22:53:49,211 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188410: rows ['1101', '1112']
2026-01-24 22:53:49,212 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000304941: rows ['1112', '1123']
2026-01-24 22:53:49,238 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001701900: rows ['12498', '12499']
2026-01-24 22:53:49,239 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001702139: rows ['12639', '12640']
2026-01-24 22:53:49,303 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000102288: rows ['10775', '10776']
