For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
flowering plant	Euphrasia heslop-harrisonii	Pugsley		NBNSYS0000004156										RedList_GB_post2001-NT				NR-excludes	BAP-2007		Scottish_Biodiversity_List								NBNSYS0000004156
flowering plant	Euphrasia marshallii	Pugsley		NBNSYS0000004149										RedList_GB_post2001-EN				NR-excludes	BAP-2007		Scottish_Biodiversity_List								NBNSYS0000004149
flowering plant	Euphrasia micrantha	Rchb.		NHMSYS0000458669										RedList_ENG_post2001-EN,RedList_GB_post2001-VU															NHMSYS0000458669
flowering plant	Euphrasia nemorosa	(Pers.) Wallr.		NBNSYS0000004155										RedList_ENG_post2001-NT,RedList_GB_post2001-NT															NBNSYS0000004155
flowering plant	Euphrasia officinalis agg.			NHMSYS0000458671										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458671
flowering plant	Euphrasia officinalis subsp. anglica	(Pugsley) Silverside		NHMSYS0100001533										RedList_ENG_post2001-EN,RedList_GB_post2001-EN					BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority						NHMSYS0021127699;NHMSYS0100001533
flowering plant	Euphrasia officinalis subsp. monticola	Silverside		NHMSYS0100001535										RedList_ENG_post2001-DD,RedList_GB_post2001-EN				NS-excludes	BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7							NHMSYS0021127699;NHMSYS0100001535
flowering plant	Euphrasia officinalis subsp. pratensis	Schübl. & G. Martens		NHMSYS0021127705										RedList_ENG_post2001-VU,RedList_GB_post2001-EN															NHMSYS0021127699;NHMSYS0021127705
flowering plant	Euphrasia ostenfeldii	(Pugsley) Yeo		NBNSYS0000004152										RedList_ENG_post2001-DD,RedList_GB_post2001-VU				NS-excludes	BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7							NBNSYS0000004152
flowering plant	Euphrasia pseudokerneri	Pugsley		NBNSYS0000004158										RedList_ENG_post2001-VU,RedList_GB_post2001-VU				NS-excludes	BAP-2007	England_NERC_S.41		Env (Wales) Act S7							NBNSYS0000004158
