row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
165	Adelges pectinatae	Adelges pectinatae (Cholodkovsky, 1888)	2049672	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Adelgidae	Adelges	Adelges pectinatae	species	
166	Adelges tsugae	Adelges tsugae Annand, 1924	2049739	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Adelgidae	Adelges	Adelges tsugae	species	
167	Adrama apicalis	Adrama apicalis Shiraki, 1933	1623763	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama apicalis	genus	
168	Adrama austeni	Adrama austeni Hendel, 1912	1623762	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama austeni	genus	
169	Adrama biseta	Adrama biseta Malloch, 1939	1623778	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama biseta	genus	
170	Adrama determinatus	Adrama determinata (Walker, 1856)	1623773	FUZZY	96	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama determinata	genus	
171	Adrama flavimanus	Adrama flavimanus Malloch, 1939	1623767	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama flavimanus	genus	
172	Adrama fuscoapicata	Adrama fuscoapicata Malloch, 1939	1623777	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama fuscoapicata	genus	
173	Adrama ismayi	Adrama ismayi Hardy, 1986	1623772	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama ismayi	genus	
174	Adrama nigrifrons	Adrama nigrifrons Hardy, 1973	1623766	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama nigrifrons	genus	
175	Adrama rufithorax	Adrama rufithorax Malloch, 1939	1623765	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Adrama	Adrama rufithorax	genus	
