organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000125451	NHMSYS0020000048	Fungi	Ascomycota	Lecanoromycetes	Baeomycetales	Trapeliaceae	Trapelia	Trapelia glebulosa s. str.	Biatora coarctata var. glebulosa;Discocera lichenicola;Gallowayiopsis glebulosa;Lecidea coarctata f. glebulosa;Lecidea coarctata var. glebulosa;Lecidea lichenicola;Lichen glebulosus;Nesolechia lichenicola	BMSSYS0000002355;NHMSYS0001480981;NHMSYS0021905543;NHMSYS0020989989;NHMSYS0020989990;NBNSYS0000018684;NHMSYS0020990543;BMSSYS0000012059	(Sm.) J.R. Laundon		Y		
NBNORG0000125440	NBNSYS0000019106	Fungi	Ascomycota	Lecanoromycetes	Baeomycetales	Trapeliaceae	Trapelia	Trapelia involuta s. str.	Biatora coarctata f. microphyllina;Lecanora involuta;Lecidea coarctata f. microphyllina;Lecidea coarctata var. ornata;Trapelia glebulosa;Trapelia ornata	NHMSYS0021843321;BMSSYS0000009546;NHMSYS0021843316;BMSSYS0000009741;BMSSYS0000728282;BMSSYS0000018723	(Taylor) Hertel		Y		
NBNORG0000014471	NHMSYS0021794957	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	Graphis scripta s. lat.	Graphis diffracta;Graphis diffracta f. minor;Graphis diffracta var. flexuosa;Graphis diffracta var. major;Graphis diffracta var. minor;Graphis diffracta var. radiata;Graphis scripta;Graphis scripta f. divaricata;Graphis scripta f. eutypa;Graphis scripta f. flexuosa;Graphis scripta f. horizontalis;Graphis scripta f. major;Graphis scripta f. minor;Graphis scripta f. radiata;Graphis scripta f. recta;Graphis scripta f. varia;Graphis scripta var. abietina;Graphis scripta var. cerasi;Graphis scripta var. diffracta;Graphis scripta var. diffracta f. flexuosa;Graphis scripta var. diffracta f. major;Graphis scripta var. diffracta f. minor;Graphis scripta var. diffracta f. radiata;Graphis scripta var. divaricata;Graphis scripta var. eutypa;Graphis scripta var. flexuosa;Graphis scripta var. fraxini;Graphis scripta var. horizontalis;Graphis scripta var. limitata;Graphis scripta var. minuta;Graphis scripta var. pulverulenta;Graphis scripta var. radiata;Graphis scripta var. recta;Graphis scripta var. serpentina;Graphis scripta var. serpentina f. eutypa;Graphis scripta var. spathea;Graphis scripta var. stellata;Graphis scripta var. tremulans;Graphis scripta var. typographica;Graphis scripta var. varia;Graphis serpentina;Graphis serpentina f. eutypa;Graphis serpentina var. diffusa;Graphis serpentina var. divaricata;Graphis serpentina var. eutypa;Graphis serpentina var. flexuosa;Graphis serpentina var. horizontalis;Graphis serpentina var. minuta;Graphis serpentina var. radiata;Graphis serpentina var. recta;Graphis serpentina var. spathea;Graphis serpentina var. stellata;Graphis serpentina var. tremulans;Graphis serpentina var. varia;Lichen serpentinus;Opegrapha cerasi;Opegrapha pulverulenta;Opegrapha pulverulenta var. fraxini;Opegrapha recta;Opegrapha scripta var. abietina;Verrucaria typographica	NHMSYS0001483169;BMSSYS0000045881;NHMSYS0001483170;NHMSYS0001483171;NHMSYS0001483172;NHMSYS0001483173;NBNSYS0000016935;BMSSYS0000007422;NHMSYS0001483183;BMSSYS0000045885;NHMSYS0001483185;NHMSYS0001483186;NHMSYS0001483187;NHMSYS0001483188;NHMSYS0001483189;NHMSYS0001483190;BMSSYS0000007419;BMSSYS0000007420;NHMSYS0001483191;BMSSYS0000533773;BMSSYS0000533774;BMSSYS0000533775;BMSSYS0000533776;NHMSYS0001483193;BMSSYS0000007423;NHMSYS0001483195;BMSSYS0000045889;BMSSYS0000007426;BMSSYS0000045890;BMSSYS0000007428;BMSSYS0000007429;NHMSYS0001483197;BMSSYS0000045891;BMSSYS0000007431;BMSSYS0000533777;NHMSYS0020990243;NHMSYS0001483201;NHMSYS0001483202;BMSSYS0000007433;NHMSYS0001483203;BMSSYS0000045892;BMSSYS0000045893;NHMSYS0001483205;NHMSYS0001483206;NHMSYS0001483207;NHMSYS0001483208;NHMSYS0001483209;NHMSYS0001483210;NHMSYS0001483211;NHMSYS0001483212;NHMSYS0001483213;NHMSYS0001483214;NHMSYS0001483215;NHMSYS0001483216;NHMSYS0001488281;NHMSYS0001491366;NHMSYS0001491397;NHMSYS0001491399;NHMSYS0001491401;NHMSYS0001491412;NHMSYS0001501724			Y		
NBNORG0000136120	NHMSYS0021794962	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	Graphis scripta s. str.	Lichen scriptus;Opegrapha scripta	NHMSYS0001488274;NHMSYS0001491411	(L.) Ach.		Y		
NBNORG0000125443	NHMSYS0000364601	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Aspicilia	Aspicilia cinerea s. str.			(L.) Körb.		Y		
NBNORG0000125446	NHMSYS0000364693	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Ochrolechiaceae	Ochrolechia	Ochrolechia turneri s. str.	Ochrolechia parella var. turneri	NHMSYS0020990650	(Sm.) Hasselrot		Y		
NBNORG0000081025	NHMSYS0021843386	Fungi	Ascomycota	Lecanoromycetes		Sarrameanaceae	Loxospora	Loxospora elatina s. lat.	Haematomma elatinum;Lecanora elatina;Lichen elatinus;Loxaspora elatina;Pseudographis elatina	NHMSYS0001483482;NHMSYS0001486369;NHMSYS0001488024;NBNSYS0000150846;NBNSYS0000019281			Y		
NBNORG0000136825	NHMSYS0021843391	Fungi	Ascomycota	Lecanoromycetes		Sarrameanaceae	Loxospora	Loxospora elatina s. str.			(Ach.) A. Massal.		Y		
NBNORG0000014427	NBNSYS0000016820	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Blumeria	Blumeria graminis s. lat.	Erysiphe graminis	NBNSYS0000147034			Y		
NBNORG0000135983	NHMSYS0021782130	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Blumeria	Blumeria graminis s. str.			(DC.) Speer		Y		
NBNORG0000014407	NHMSYS0021646090	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Golovinomyces	Golovinomyces biocellatus s. lat.	Acrosporium erysiphoides;Alphitomorpha biocellata;Erysiphe biocellata;Erysiphe salviae;Euoidium erysiphoides;Golovinomyces biocellatus	NHMSYS0021651735;NHMSYS0021651730;NBNSYS0000016788;NHMSYS0001481954;NHMSYS0021651740;BMSSYS0000045846	(Ehrenb.) V.P. Heluta		Y		
NBNORG0000133487	NHMSYS0021553209	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Golovinomyces	Golovinomyces biocellatus s. str.			(Ehrenb.) V.P. Heluta		Y		
NBNORG0000090860	NHMSYS0019999598	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Golovinomyces	Golovinomyces cynoglossi s. lat.	Alphitomorpha cynoglossi;Erysiphe asperifoliorum;Erysiphe cynoglossi	BMSSYS0000001312;NHMSYS0001442731;NHMSYS0001481912			Y		
NBNORG0000135978	NHMSYS0021782105	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Golovinomyces	Golovinomyces cynoglossi s. str.			(Wallr.) V.P. Heluta		Y		
NBNORG0000080904	NHMSYS0001487847	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula taurica s. lat.	Erysiphe taurica;Leveillula cistacearum;Leveillula compositarum;Leveillula malvacearum;Oidiopsis taurica	NHMSYS0001481959;NBNSYS0000150531;NBNSYS0000150532;NBNSYS0000150533;NBNSYS0000152575	(Lév.) G. Arnaud		Y		
NBNORG0000133547	NHMSYS0021553509	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula taurica s. str.			(Lév.) G. Arnaud		Y		
NBNORG0000082666	NHMSYS0001493582	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Phyllactinia	Phyllactinia guttata s. lat.	Alphitomorpha guttata;Erysiphe suffulta;Phyllactinia corylea;Phyllactinia guttata agg.;Phyllactinia suffulta	NHMSYS0001474383;NHMSYS0001481956;NHMSYS0001493581;BMSSYS0000290025;BMSSYS0000014226	(Wallr.) Lév.		Y		
NBNORG0000133623	NHMSYS0021553894	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Phyllactinia	Phyllactinia guttata s. str.			(Wallr.) Lév.		Y		
NBNORG0000014404	NHMSYS0021576818	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Podosphaera	Podosphaera tridactyla s. lat.	Alphitomorpha tridactyla;Erysiphe bertolinii;Erysiphe tridactyla;Oidium passerinii;Podosphaera clandestina var. tridactyla;Podosphaera oxyacanthae var. tridactyla;Podosphaera tridactyla;Podosphaera tridactyla var. prunicola	NHMSYS0001474389;BMSSYS0000006654;NHMSYS0021647295;NBNSYS0000152583;BMSSYS0000049927;NHMSYS0001494320;NBNSYS0000016783;NHMSYS0021649740	(Wallr.) de Bary		Y		
NBNORG0000133666	NHMSYS0021554109	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Podosphaera	Podosphaera tridactyla s. str.			(Wallr.) de Bary		Y		
NBNORG0000136359	NBNSYS0000017176	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Cudoniella	Cudoniella clavus var. grandis			(Boud.) Dennis		Y		
NBNORG0000014811	NBNSYS0000017521	Fungi	Ascomycota	Leotiomycetes	Leotiales	Leotiaceae	Microglossum	Microglossum olivaceum agg.	Geoglossum olivaceum;Leptoglossum olivaceum;Mitrula olivacea	BMSSYS0000007143;NHMSYS0001487451;BMSSYS0000011371			Y		
NBNORG0000091500	NHMSYS0020103100	Fungi	Ascomycota		Thelocarpales	Thelocarpaceae	Thelocarpon	Thelocarpon epibolum s. str.	Thelocarpon epibolum var. epibolum;Thelocarpon epibolum var. epithallinum	NHMSYS0001499647;NBNSYS0000019078	Nyl.		Y		
NBNORG0000091187	NHMSYS0020039553	Fungi	Ascomycota					Lichen (unidentified)					Y		
NBNORG0000138516	NHMSYS0021937894	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri s. lat.	Clavaria amethystina;Clavaria zollingeri	NHMSYS0001477753;NBNSYS0000020751			Y		
