Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
8748	Eurygeophilus pinguis		Geophilidae	Geophilomorpha	8	NR	LC; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat			Arthropoda, Plantae	Eurygeophilus		pinguis		Eurygeophilus pinguis
8749	Geophilus easoni		Geophilidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	base status >> acidic, conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter			Arthropoda, Plantae	Geophilus		easoni		Geophilus easoni
8750	Geophilus electricus		Geophilidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Geophilus		electricus		Geophilus electricus
8751	Geophilus flavus		Geophilidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Geophilus		flavus		Geophilus flavus
8752	Geophilus insculptus		Geophilidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp			Arthropoda	Geophilus		insculptus		Geophilus insculptus
8753	Geophilus osquidatum		Geophilidae	Geophilomorpha	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Geophilus		osquidatum		Geophilus osquidatum
8754	Geophilus proximus		Geophilidae	Geophilomorpha	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Geophilus		proximus		Geophilus proximus
8755	Pachymerium ferrugineum		Geophilidae	Geophilomorpha	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	sandy beach	saline silt				Pachymerium		ferrugineum		Pachymerium ferrugineum
8756	Haplophilus subterraneus		Himantariidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat			Arthropoda, Plantae	Haplophilus		subterraneus		Haplophilus subterraneus
8757	Strigamia acuminata		Linotaeniidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat			Arthropoda, Plantae	Strigamia		acuminata		Strigamia acuminata
8758	Strigamia crassipes		Linotaeniidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat			Arthropoda, Plantae	Strigamia		crassipes		Strigamia crassipes
8759	Schendyla nemorensis		Schendylidae	Geophilomorpha	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Schendyla		nemorensis		Schendyla nemorensis
8760	Acompocoris alpinus		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Acari, Aphididae, Picea	Acompocoris		alpinus		Acompocoris alpinus
8761	Acompocoris pygmaeus		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Acari, Aphididae, Pinus sylvestris	Acompocoris		pygmaeus		Acompocoris pygmaeus
8762	Anthocoris amplicollis		Anthocoridae	Hemiptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acari, Aphididae, Fraxinus	Anthocoris		amplicollis		Anthocoris amplicollis
8763	Anthocoris butleri		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Acari, Aphididae, Buxus	Anthocoris		butleri		Anthocoris butleri
8764	Anthocoris confusus		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy			Acari, Aphididae, Fagales	Anthocoris		confusus		Anthocoris confusus
8765	Anthocoris gallarum-ulmi		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Schizoneura ulmi, Ulmus glabra	Anthocoris		gallarum-ulmi		Anthocoris gallarum-ulmi
8766	Anthocoris limbatus		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only			Acari, Aphididae, Salix	Anthocoris		limbatus		Anthocoris limbatus
8767	Anthocoris minki		Anthocoridae	Hemiptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Pemphigus (Pemphigus) spyrothecae, Populus nigra 'Italica'	Anthocoris		minki		Anthocoris minki
8768	Anthocoris nemoralis		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acari, Aphididae, Fagales	Anthocoris		nemoralis		Anthocoris nemoralis
8769	Anthocoris simulans		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Pemphigus (Pemphigus) spyrothecae, Populus nigra 'Italica'	Anthocoris		simulans		Anthocoris simulans
8770	Anthocoris visci		Anthocoridae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Aleyrodidae, Viscum album	Anthocoris		visci		Anthocoris visci
8771	Elatophilus (Elatophilus) nigricornis		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Picea, Pinus	Elatophilus	Elatophilus	nigricornis		Elatophilus nigricornis
8772	Orius (Heterorius) laticollis		Anthocoridae	Hemiptera					predator	predator	tree-associated	arboreal	canopy, carr/wet woodland			Arthropoda, Salix	Orius	Heterorius	laticollis		Orius laticollis
8773	Orius (Orius) laevigatus		Anthocoridae	Hemiptera	1				predator	predator	open habitats					Asteraceae	Orius	Orius	laevigatus		Orius laevigatus
8774	Tetraphleps bicuspis		Anthocoridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Arthropoda, Larix	Tetraphleps		bicuspis		Tetraphleps bicuspis
8775	Xylocoris (Xylocoris) formicetorum		Anthocoridae	Hemiptera	1	[Na]	[Scarce]	[GB Rarity listing] (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Xylocoris	Xylocoris	formicetorum		Xylocoris formicetorum
8776	Cryptostemma alienum		Dipsocoridae	Hemiptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle	W111			Cryptostemma		alienum		Cryptostemma alienum
8777	Pachycoleus waltli		Dipsocoridae	Hemiptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	sphagnum/moss lawn	W312		Arthropoda	Pachycoleus		waltli		Pachycoleus waltli
8778	Aquarius najas	River Skater	Gerridae	Hemiptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	flow >> slow flow		grazing marsh - salinity: 0, grazing marsh - status: 2		Aquarius		najas		Aquarius najas
8779	Aquarius paludum		Gerridae	Hemiptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	lake; marshland	shallow freshwater pond >> aquatic: sparsely vegetated	W211		Arthropoda	Aquarius		paludum		Aquarius paludum
8780	Gerris (Gerris) argentatus	Little Pondskater	Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated	W211	grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda	Gerris	Gerris	argentatus		Gerris argentatus
8781	Gerris (Gerris) costae	Moorland Pondskater	Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated	W312	acid mire: B	Arthropoda	Gerris	Gerris	costae		Gerris costae
8782	Gerris (Gerriselloides) lateralis		Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		acid mire: C, grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda	Gerris	Gerriselloides	lateralis		Gerris lateralis
8783	Gerris (Gerris) gibbifer		Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats; lake	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda	Gerris	Gerris	gibbifer		Gerris gibbifer
8784	Gerris (Gerris) lacustris	Common Pondskater	Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda	Gerris	Gerris	lacustris		Gerris lacustris
8785	Gerris (Gerris) odontogaster	Toothed Pondskater	Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda	Gerris	Gerris	odontogaster		Gerris odontogaster
8786	Gerris (Gerris) thoracicus		Gerridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda	Gerris	Gerris	thoracicus		Gerris thoracicus
8787	Hebrus (Hebrusella) ruficeps	Sphagnum Bug	Hebridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond, sphagnum/moss lawn		acid mire: B, grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda	Hebrus	Hebrusella	ruficeps		Hebrus ruficeps
8788	Hebrus (Hebrus) pusillus	Semi-aquatic bugs	Hebridae	Hemiptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats; marshland; running water	seepages >> soft rock cliff seepage, wet/damp peat, wetland vegetation		grazing marsh - salinity: 0, grazing marsh - status: 3	Arthropoda	Hebrus	Hebrus	pusillus		Hebrus pusillus
8789	Hydrometra gracilenta	Lesser Water Measurer	Hydrometridae	Hemiptera	8	NR; Section 41 Priority Species; VU	Nationally Rare; S41. Priority Species; VU	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated	W314	grazing marsh - salinity: 0, grazing marsh - status: 4	Arthropoda	Hydrometra		gracilenta		Hydrometra gracilenta
8790	Hydrometra stagnorum	Water Measurer	Hydrometridae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda	Hydrometra		stagnorum		Hydrometra stagnorum
8791	Mesovelia furcata	Pondweed Bug	Mesoveliidae	Hemiptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	shallow freshwater pond	W211	grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda	Mesovelia		furcata		Mesovelia furcata
8792	Capsus (Leptomerocoris) diaphanus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Salix	Capsus	Leptomerocoris	diaphanus		Capsus diaphanus
8793	Compsidolon (Coniortodes) salicellum		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, carr/wet woodland, conifer or broadleaved >> broadleaved only			Alnus, Aphididae, Corylus, Malus, Salix	Compsidolon	Coniortodes	salicellum		Compsidolon salicellum
8794	Malacocoris chlorizans	Delicate Apple Capsid	Miridae	Hemiptera	1					predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Aphididae, Corylus, Fagales, Psocodea	Malacocoris		chlorizans		Malacocoris chlorizans
8795	Miris striatus	Fine Streaked Bugkin	Miridae	Hemiptera	1					predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Crataegus, Quercus	Miris		striatus		Miris striatus
8796	Orthotylus (Orthotylus) flavinervis		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer pseudoplatanus, Alnus, Arthropoda	Orthotylus	Orthotylus	flavinervis		Orthotylus flavinervis
8797	Orthotylus (Orthotylus) marginalis	Dark Green Apple Capsid	Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Salix	Orthotylus	Orthotylus	marginalis		Orthotylus marginalis
8798	Orthotylus (Orthotylus) nassatus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Fraxinus, Quercus, Tilia	Orthotylus	Orthotylus	nassatus		Orthotylus nassatus
8799	Orthotylus (Orthotylus) prasinus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Corylus, Fraxinus, Quercus	Orthotylus	Orthotylus	prasinus		Orthotylus prasinus
8800	Orthotylus (Orthotylus) tenellus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Corylus, Fraxinus, Quercus	Orthotylus	Orthotylus	tenellus		Orthotylus tenellus
8801	Orthotylus (Orthotylus) virens		Miridae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Salix pentandra	Orthotylus	Orthotylus	virens		Orthotylus virens
8802	Orthotylus (Orthotylus) viridinervis		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Ulmus glabra	Orthotylus	Orthotylus	viridinervis		Orthotylus viridinervis
8803	Orthotylus (Pinocapsus) fuscescens		Miridae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Arthropoda, Pinus sylvestris	Orthotylus	Pinocapsus	fuscescens		Orthotylus fuscescens
8804	Orthotylus (Pseudorthotylus) bilineatus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Populus	Orthotylus	Pseudorthotylus	bilineatus		Orthotylus bilineatus
8805	Phytocoris (Phytocoris) tiliae		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Fagales	Phytocoris	Phytocoris	tiliae		Phytocoris tiliae
8806	Pilophorus cinnamopterus		Miridae	Hemiptera	1					predator	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Aphididae, Pinus sylvestris	Pilophorus		cinnamopterus		Pilophorus cinnamopterus
8807	Pilophorus clavatus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Aphididae, Salix	Pilophorus		clavatus		Pilophorus clavatus
8808	Pilophorus perplexus		Miridae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Aphididae, Fagales, Quercus	Pilophorus		perplexus		Pilophorus perplexus
8809	Tytthus pubescens		Miridae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	predator	predator	wetland	acid & sedge peats	wetland vegetation			Cicadellidae	Tytthus		pubescens		Tytthus pubescens
8810	Tytthus pygmaeus		Miridae	Hemiptera	1				predator	predator	wetland	acid & sedge peats	wetland vegetation			Cicadellidae	Tytthus		pygmaeus		Tytthus pygmaeus
8811	Himacerus (Anaptus) major		Nabidae	Hemiptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer			Arthropoda	Himacerus	Anaptus	major		Himacerus major
8812	Himacerus (Aptus) mirmicoides	Ant Damsel Bug	Nabidae	Hemiptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> dry			Arthropoda	Himacerus	Aptus	mirmicoides		Himacerus mirmicoides
8813	Himacerus (Himacerus) apterus	Tree Damsel Bug	Nabidae	Hemiptera	1				predator	predator	tree-associated	arboreal	canopy			Acari, Aphididae, Fagales	Himacerus	Himacerus	apterus		Himacerus apterus
8814	Himacerus (Stalia) boops		Nabidae	Hemiptera	1				predator	predator	open habitats	tall sward & scrub	base status >> acidic, habitats >> litter & ground layer, soil humidity >> dry		calcareous grassland: Moderate	Arthropoda	Himacerus	Stalia	boops		Himacerus boops
