organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000135181	BMSSYS0000016492	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula anthracina var. carneifolia	Romagn.	Species			Y																																								
NBNORG0000039074	NBNSYS0000186845	Animalia	Annelida	Polychaeta	Eunicida	Dorvilleidae	Schistomeringos	Schistomeringos spp.		Species					Y																																						
NBNORG0000051494	NHMSYS0000335687	Animalia	Chordata	Actinopterygii	Ophidiiformes	Aphyonidae	Sciadonus	Sciadonus sp.		Species					Y																																						
NBNORG0000039144	NBNSYS0000186929	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Scolelepis	Scolelepis sp.		Species					Y																																						
NBNORG0000039145	NBNSYS0000186930	Animalia	Annelida	Polychaeta		Orbiniidae	Scoloplos	Scoloplos sp.		Species					Y																																						
NBNORG0000040673	NBNSYS0000189475	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Sebastidae	Sebastes	Sebastes spp.		Species					Y																																						
NBNORG0000132555	NHMSYS0021351083	Fungi	Ascomycota	Dothideomycetes			Septonema	Septonema sp. nov.		Species			Y	Y																																							
NBNORG0000043271	NHMSYS0021261905	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Sergentia	Sergentia pe1		Species	Sergentia psiloptera		Y			Y	Y																																				
NBNORG0000108344	NHMSYS0020977763	Animalia	Arthropoda	Diplopoda	Siphonophorida	Siphonophoridae		Siphonophoridae sp.		Species		Y	Y																										RedList_GB_post2001-NA														
NBNORG0000044769	NBNSYS0100015265	Animalia	Mollusca	Gastropoda	Cycloneritimorpha	Neritidae	Smaragdia	Snails		Species																																											
NBNORG0000040674	NBNSYS0000189488	Animalia	Arthropoda	Insecta	Hymenoptera			Solitary bee		Species			Y																																								
NBNORG0000040675	NBNSYS0000189489	Animalia	Arthropoda	Insecta	Hymenoptera			Solitary wasp		Species			Y																																								
NBNORG0000043312	NBNSYS0100005562	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria B		Species			Y																																								
NBNORG0000009761	NBNSYS0000006962	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria form A		Species			Y																																								
