For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
insect - dragonfly (Odonata)	Lestes sponsa	(Hansemann, 1823)		NBNSYS0000005613										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Leucorrhinia dubia	(Vander Linden, 1825)		NHMSYS0020546892							RedList_Global_post2001-LC			RedList_GB_post2001-EN														
insect - dragonfly (Odonata)	Libellula depressa	Linnaeus, 1758		NBNSYS0000005637										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Libellula fulva	Müller, 1764		NBNSYS0000005638										RedList_GB_post2001-NT														
insect - dragonfly (Odonata)	Libellula quadrimaculata	Linnaeus, 1758		NBNSYS0000005639							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Orthetrum cancellatum	(Linnaeus, 1758)		NBNSYS0000005641							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Orthetrum coerulescens	(Fabricius, 1798)		NBNSYS0000005640							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Oxygastra curtisii	(Dale, 1834)		NBNSYS0000005636	Bern-A2						RedList_Global_post2001-NT			RedList_GB_post2001-RE														
insect - dragonfly (Odonata)	Platycnemis pennipes	(Pallas, 1771)		NBNSYS0000005598							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Pyrrhosoma nymphula	(Sulzer, 1776)		NBNSYS0000005599										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Somatochlora arctica	(Zetterstedt, 1840)		NBNSYS0000005635										RedList_GB_post2001-NT														
insect - dragonfly (Odonata)	Somatochlora metallica	(Vander Linden, 1825)		NHMSYS0020546972							RedList_Global_post2001-LC			RedList_GB_post2001-VU														
insect - dragonfly (Odonata)	Sympetrum danae	(Sulzer, 1776)		NBNSYS0000005651										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Sympetrum flaveolum	(Linnaeus, 1758)		NBNSYS0000005649										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Sympetrum fonscolombii	(Selys, 1840)		NHMSYS0000344188										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Sympetrum sanguineum	(Müller, 1764)		NBNSYS0000005650							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Sympetrum striolatum	(Charpentier, 1840)		NBNSYS0000005645							RedList_Global_post2001-LC			RedList_GB_post2001-DD,RedList_GB_post2001-LC														
insect - earwig (Dermaptera)	Apterygida media	(Hagenbach, 1822)		NHMSYS0001387259										RedList_GB_post2001-NE			NS-includes											
insect - earwig (Dermaptera)	Euborellia annulipes	(Lucas, 1847)		NHMSYS0001387304										RedList_GB_post2001-NE														
insect - earwig (Dermaptera)	Forficula auricularia	(Linnaeus, 1758)		NHMSYS0001387317										RedList_GB_post2001-LC														
insect - earwig (Dermaptera)	Forficula lesnei	(Finot, 1887)		NHMSYS0001387336										RedList_GB_post2001-LC			NS-includes											
insect - earwig (Dermaptera)	Labia minor	(Linnaeus, 1758)		NHMSYS0001387382										RedList_GB_post2001-LC							Scottish_Biodiversity_List							
insect - earwig (Dermaptera)	Labidura riparia	(Pallas, 1773)		NHMSYS0001387398										RedList_GB_post2001-NE														
insect - earwig (Dermaptera)	Marava arachidis	(Yersin, 1860)		NHMSYS0001387415										RedList_GB_post2001-NE														
insect - flea (Siphonaptera)	Ceratophyllus (Emmareus) fionnus	Usher, 1968		NHMSYS0000545911																	Scottish_Biodiversity_List							
insect - hymenopteran	Ammophila sabulosa	(Linnaeus, 1758)		NHMSYS0000875039																	Scottish_Biodiversity_List							
insect - hymenopteran	Ancistrocerus antilope	(Panzer, 1798)		NHMSYS0000875042								RedList_GB_Pre94-R																
insect - hymenopteran	Ancistrocerus claripennis	Thomson, 1874		NHMSYS0021232117								RedList_GB_Pre94-R																
insect - hymenopteran	Ancistrocerus parietum	(Linnaeus, 1758)		NHMSYS0000875050																	Scottish_Biodiversity_List							
insect - hymenopteran	Andrena alfkenella	Perkins, R.C.L., 1914		NHMSYS0000875157								RedList_GB_Pre94-R																
insect - hymenopteran	Andrena apicata	Smith, F., 1847		NHMSYS0000875162														Notable-B										
insect - hymenopteran	Andrena argentata	Smith, F., 1844		NHMSYS0000875164														Notable-A										
insect - hymenopteran	Andrena bimaculata	(Kirby, 1802)		NHMSYS0000875172														Notable-B										
insect - hymenopteran	Andrena bucephala	Stephens, 1846		NHMSYS0000875173														Notable-A										
insect - hymenopteran	Andrena cineraria	(Linnaeus, 1758)		NHMSYS0000875177																	Scottish_Biodiversity_List							
insect - hymenopteran	Andrena coitana	(Kirby, 1802)		NHMSYS0000875181																			NI_Priority					
insect - hymenopteran	Andrena congruens	Schmiedeknecht, 1884		NBNSYS0000009676														Notable-A										
insect - hymenopteran	Andrena denticulata	(Kirby, 1802)		NHMSYS0000875192																			NI_Priority					
insect - hymenopteran	Andrena falsifica	Perkins, R.C.L., 1915		NHMSYS0000875199														Notable-A										
insect - hymenopteran	Andrena ferox	Smith, F., 1847		NHMSYS0000875201								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41								
insect - hymenopteran	Andrena florea	Fabricius, 1793		NHMSYS0000875203								RedList_GB_Pre94-R																
insect - hymenopteran	Andrena floricola	Eversmann, 1852		NHMSYS0000875204								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena fulvago	(Christ, 1791)		NHMSYS0000875208														Notable-A										
insect - hymenopteran	Andrena fuscipes	(Kirby, 1802)		NHMSYS0000875212																			NI_Priority					
insect - hymenopteran	Andrena gravida	Imhoff, 1832		NHMSYS0000875213								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena hattorfiana	(Fabricius, 1775)		NHMSYS0000875216								RedList_GB_Pre94-R																
insect - hymenopteran	Andrena helvola	(Linnaeus, 1758)		NHMSYS0000875217																	Scottish_Biodiversity_List							
insect - hymenopteran	Andrena humilis	Imhoff, 1832		NHMSYS0000875218														Notable-B										
insect - hymenopteran	Andrena labiata	Fabricius, 1781		NHMSYS0000875222														Notable-A										
insect - hymenopteran	Andrena lathyri	Alfken, 1899		NHMSYS0000875226								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena lepida	Schenck, 1861		NHMSYS0000875227								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena marginata	Fabricius, 1776		NHMSYS0000875232														Notable-A			Scottish_Biodiversity_List							
insect - hymenopteran	Andrena minutuloides	Perkins, R.C.L., 1914		NHMSYS0000875235														Notable-A										
insect - hymenopteran	Andrena nana	(Kirby, 1802)		NHMSYS0000875238								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena nanula	Nylander, 1848		NHMSYS0000875240								RedList_GB_Pre94-EX																
insect - hymenopteran	Andrena nigriceps	(Kirby, 1802)		NHMSYS0000875241														Notable-B										
insect - hymenopteran	Andrena nigroaenea	(Kirby, 1802)		NHMSYS0000875243																			NI_Priority					
insect - hymenopteran	Andrena nitida	(Müller, 1776)		NHMSYS0001685273																	Scottish_Biodiversity_List							
insect - hymenopteran	Andrena nitidiuscula	Schenck, 1853		NBNSYS0100001525								RedList_GB_Pre94-R																
insect - hymenopteran	Andrena niveata	Friese, 1887		NHMSYS0000875247								RedList_GB_Pre94-VU																
insect - hymenopteran	Andrena pilipes	Fabricius, 1781		NHMSYS0000875254														Notable-B										
insect - hymenopteran	Andrena polita	Smith, F., 1847		NHMSYS0000875256								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena praecox	(Scopoli, 1763)		NHMSYS0000875257																			NI_Priority					
insect - hymenopteran	Andrena proxima	(Kirby, 1802)	sensu lato	NHMSYS0021232238								RedList_GB_Pre94-R																
insect - hymenopteran	Andrena rosae	Panzer, 1801		NHMSYS0000875262								RedList_GB_Pre94-VU																
insect - hymenopteran	Andrena ruficrus	Nylander, 1848		NHMSYS0000875264								RedList_GB_Pre94-R									Scottish_Biodiversity_List							
insect - hymenopteran	Andrena semilaevis	Pérez, 1903		NHMSYS0000875269																			NI_Priority					
insect - hymenopteran	Andrena similis	Smith, 1849		NHMSYS0000875273														Notable-B										
insect - hymenopteran	Andrena simillima	Smith, F., 1851		NHMSYS0000875274								RedList_GB_Pre94-VU																
insect - hymenopteran	Andrena tarsata	Nylander, 1848		NHMSYS0000875281															BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7						
insect - hymenopteran	Andrena tibialis	(Kirby, 1802)		NHMSYS0000875283														Notable-A										
insect - hymenopteran	Andrena tridentata	(Kirby, 1802)		NHMSYS0000875284								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena trimmerana	(Kirby, 1802)		NHMSYS0000875285														Notable-B										
insect - hymenopteran	Andrena vaga	Panzer, 1799		NHMSYS0000875286								RedList_GB_Pre94-EN																
insect - hymenopteran	Andrena varians	(Kirby, 1802)		NHMSYS0000875287														Notable-B										
insect - hymenopteran	Anergates atratulus	(Schenck, 1852)		NHMSYS0000875294							RedList_Global_post94-VU								BAP-2007	England_NERC_S.41								
insect - hymenopteran	Anoplius caviventris	(Aurivillius, 1907)		NHMSYS0000875304														Notable-B										
insect - hymenopteran	Anoplius concinnus	(Dahlbom, 1845)		NHMSYS0000875305																	Scottish_Biodiversity_List							
insect - hymenopteran	Anthidium manicatum	(Linnaeus, 1758)		NHMSYS0000875389																	Scottish_Biodiversity_List							
insect - hymenopteran	Anthophora furcata	(Panzer, 1798)		NHMSYS0000875403																	Scottish_Biodiversity_List							
insect - hymenopteran	Anthophora quadrimaculata	(Panzer, 1798)		NHMSYS0000875408														Notable-B										
insect - hymenopteran	Anthophora retusa	(Linnaeus, 1758)		NHMSYS0000875409								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41								
insect - hymenopteran	Aporus unicolor	Spinola, 1808		NBNSYS0000009434														Notable-A										
insect - hymenopteran	Arachnospila consobrina	(Dahlbom, 1843)		NBNSYS0000009417								RedList_GB_Pre94-R																
insect - hymenopteran	Arachnospila minutula	(Dahlbom, 1842)		NHMSYS0000875439														Notable-B										
insect - hymenopteran	Arachnospila rufa	(Haupt, 1927)		NBNSYS0000009422								RedList_GB_Pre94-EN																
insect - hymenopteran	Arachnospila wesmaeli	(Thomson, 1870)		NBNSYS0000009419														Notable-A										
insect - hymenopteran	Argogorytes fargeii	(Shuckard, 1837)		NHMSYS0000875445														Notable-A										
insect - hymenopteran	Auplopus carbonarius	(Scopoli, 1763)		NBNSYS0000009398														Notable-B										
insect - hymenopteran	Bombus barbutellus	(Kirby, 1802)		NBNSYS0100002024																			NI_Priority					
insect - hymenopteran	Bombus campestris	(Panzer, 1801)		NHMSYS0000875546																			NI_Priority					
insect - hymenopteran	Bombus cullumanus	(Kirby, 1802)		NHMSYS0000875550								RedList_GB_Pre94-EN																
insect - hymenopteran	Bombus distinguendus	Morawitz, F., 1869		NHMSYS0000875554														Notable-B	BAP-2007		Scottish_Biodiversity_List							
insect - hymenopteran	Bombus humilis	Illiger, 1806		NHMSYS0000875563															BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
insect - hymenopteran	Bombus monticola	Smith, 1849		NHMSYS0000875571																	Scottish_Biodiversity_List							
insect - hymenopteran	Bombus muscorum	(Linnaeus, 1758)		NHMSYS0000875572															BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority					
insect - hymenopteran	Bombus pomorum	(Panzer, 1805)		NHMSYS0000875577								RedList_GB_Pre94-EX																
insect - hymenopteran	Bombus ruderarius	(Müller, 1776)		NHMSYS0000875582															BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7						
insect - hymenopteran	Bombus ruderatus	(Fabricius, 1775)		NHMSYS0000875583														Notable-B	BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
insect - hymenopteran	Bombus rupestris	(Fabricius, 1793)		NBNSYS0100002028														Notable-B					NI_Priority					
insect - hymenopteran	Bombus subterraneus	(Linnaeus, 1758)		NHMSYS0000875592														Notable-A	BAP-2007	England_NERC_S.41								
insect - hymenopteran	Bombus sylvarum	(Linnaeus, 1761)		NHMSYS0000875593														Notable-B	BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
insect - hymenopteran	Ceratina cyanea	(Kirby, 1802)		NHMSYS0000875623								RedList_GB_Pre94-R																
insect - hymenopteran	Cerceris quadricincta	(Panzer, 1799)		NHMSYS0000875631								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41								
insect - hymenopteran	Cerceris quinquefasciata	(Rossi, 1792)		NHMSYS0000875632								RedList_GB_Pre94-R							BAP-2007	England_NERC_S.41								
insect - hymenopteran	Cerceris sabulosa	(Panzer, 1799)		NHMSYS0000875635								RedList_GB_Pre94-EX																
insect - hymenopteran	Ceropales maculata	(Fabricius, 1775)		NHMSYS0000875637																	Scottish_Biodiversity_List							
insect - hymenopteran	Ceropales variegata	(Fabricius, 1798)		NHMSYS0000875638								RedList_GB_Pre94-EN																
insect - hymenopteran	Chrysis fulgida	Linnaeus, 1761		NHMSYS0000875658								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
insect - hymenopteran	Chrysis gracillima	Förster, 1853		NHMSYS0000875659								RedList_GB_Pre94-VU																
insect - hymenopteran	Chrysis illigeri	Wesmael, 1839		NHMSYS0000875662														Notable-B										
insect - hymenopteran	Chrysis longula	Abeille de Perrin, 1879		NHMSYS0000875664								RedList_GB_Pre94-R																
insect - hymenopteran	Chrysis pseudobrevitarsis	Linsenmaier, 1951		NHMSYS0000875667								RedList_GB_Pre94-VU																
insect - hymenopteran	Chrysis schencki	Linsenmaier, 1968		NHMSYS0000875670														Notable-A										
insect - hymenopteran	Chrysura hirsuta	(Gerstäcker, 1869)		NHMSYS0000875676								RedList_GB_Pre94-R							BAP-2007		Scottish_Biodiversity_List							
insect - hymenopteran	Chrysura radians	Harris, 1781		NHMSYS0000875679														Notable-A										
insect - hymenopteran	Cleptes nitidulus	(Fabricius, 1793)		NHMSYS0000875681														Notable-A										
insect - hymenopteran	Cleptes semiauratus	(Linnaeus, 1761)		NHMSYS0000875683														Notable-B										
insect - hymenopteran	Coelioxys afra	Lepeletier, 1841		NHMSYS0000875697								RedList_GB_Pre94-EX																
insect - hymenopteran	Coelioxys mandibularis	Nylander, 1848		NHMSYS0000875702								RedList_GB_Pre94-R																
insect - hymenopteran	Coelioxys quadridentata	(Linnaeus, 1758)		NHMSYS0000875703								RedList_GB_Pre94-R																
insect - hymenopteran	Colletes cunicularius	(Linnaeus, 1761)		NHMSYS0000875722								RedList_GB_Pre94-R																
insect - hymenopteran	Colletes daviesanus	Smith, F., 1846		NHMSYS0000875723																	Scottish_Biodiversity_List							
insect - hymenopteran	Colletes floralis	Eversmann, 1852		NHMSYS0000875724								RedList_GB_Pre94-R							BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List		NI_Priority					
insect - hymenopteran	Colletes fodiens	(Geoffroy in Fourcroy, 1785)		NHMSYS0000875725																	Scottish_Biodiversity_List							
insect - hymenopteran	Colletes halophilus	Verhoeff, P.M.F., 1944		NHMSYS0000875726														Notable-A	BAP-2007	England_NERC_S.41								
insect - hymenopteran	Colletes marginatus	Smith, F., 1846		NHMSYS0000875727														Notable-A										
insect - hymenopteran	Crabro peltarius	(Schreber, 1784)		NHMSYS0000875734																	Scottish_Biodiversity_List							
insect - hymenopteran	Crabro scutellatus	(Scheven, 1781)		NHMSYS0000875735														Notable-A										
insect - hymenopteran	Crossocerus binotatus	Lepeletier & Brullé, 1835		NHMSYS0000875777														Notable-B										
insect - hymenopteran	Crossocerus distinguendus	(Morawitz, A., 1866)		NHMSYS0000875784														Notable-A										
insect - hymenopteran	Crossocerus exiguus	(Vander Linden, 1829)		NHMSYS0000875786								RedList_GB_Pre94-R																
insect - hymenopteran	Crossocerus leucostomus	(Linnaeus, 1758)		NHMSYS0000875791														Notable-A										
insect - hymenopteran	Crossocerus megacephalus	(Rossi, 1790)		NHMSYS0000875792																	Scottish_Biodiversity_List							
insect - hymenopteran	Crossocerus palmipes	(Linnaeus, 1767)		NHMSYS0000875797														Notable-B										
insect - hymenopteran	Crossocerus quadrimaculatus	(Fabricius, 1793)		NHMSYS0000875801																	Scottish_Biodiversity_List							
insect - hymenopteran	Crossocerus vagabundus	(Panzer, 1798)		NHMSYS0000875806								RedList_GB_Pre94-EN																
insect - hymenopteran	Crossocerus walkeri	(Shuckard, 1837)		NHMSYS0000875810														Notable-B										
insect - hymenopteran	Cryptocheilus notatus	(Rossius, 1792)		NBNSYS0000009400								RedList_GB_Pre94-VU																
insect - hymenopteran	Dasypoda hirtipes	(Fabricius, 1793)		NHMSYS0000875818														Notable-B										
insect - hymenopteran	Didineis lunicornis	(Fabricius, 1798)		NBNSYS0100002844														Notable-A										
insect - hymenopteran	Dinetus pictus	(Fabricius, 1793)		NHMSYS0000875825								RedList_GB_Pre94-EX																
