For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
millipede	Anthogona britannica	Gregory, Jones & Mauriès, 1993		NHMSYS0000356226										RedList_GB_post2001-NT			NR-includes											
millipede	Archiboreoiulus pallidus	(Brade-Birks, 1920)		NBNSYS0000011376										RedList_GB_post2001-LC														
millipede	Blaniulus guttulatus	(Fabricius, 1798)		NBNSYS0000011375										RedList_GB_post2001-LC														
millipede	Boreoiulus tenuis	(Bigler, 1913)		NBNSYS0000011377										RedList_GB_post2001-LC														
millipede	Brachychaeteuma bagnalli	Verhoeff, 1911		NBNSYS0000011357										RedList_GB_post2001-LC			NS-includes											
millipede	Brachychaeteuma bradeae	(Brölemann & Brade-Birks, 1917)		NBNSYS0000011358										RedList_GB_post2001-LC			NS-includes											
millipede	Brachychaeteuma melanops	Brade-Birks & Brade-Birks, 1918		NHMSYS0020108466										RedList_GB_post2001-LC			NS-includes											
millipede	Brachydesmus superus	Latzel, 1884		NBNSYS0000011372										RedList_GB_post2001-LC														
millipede	Brachyiulus lusitanus	Verhoeff, 1898		NHMSYS0020977697										RedList_GB_post2001-NA														
millipede	Brachyiulus pusillus	(Leach, 1815)		NBNSYS0000011387										RedList_GB_post2001-LC														
millipede	Ceratosphys amoena subsp. confusa	Ribaut, 1955		NHMSYS0021118576										RedList_GB_post2001-DD			NR-includes											
millipede	Choneiulus palmatus	(Němec, 1895)		NHMSYS0000356233										RedList_GB_post2001-LC			NS-includes											
millipede	Chordeuma proximum	Ribaut, 1913		NBNSYS0000011353										RedList_GB_post2001-LC														
millipede	Chordeuma sylvestre	C.L. Koch, 1847		NHMSYS0000356235										RedList_GB_post2001-VU			NR-includes											
millipede	Craspedosoma rawlinsii	Leach, 1814		NHMSYS0020108469										RedList_GB_post2001-LC			NS-includes											
millipede	Cylindrodesmus hirsutus	Pocock, 1889		NHMSYS0020108471										RedList_GB_post2001-NA														
millipede	Cylindroiulus britannicus	(Verhoeff, 1891)		NBNSYS0000011394										RedList_GB_post2001-LC														
millipede	Cylindroiulus caeruleocinctus	(Wood, 1864)		NBNSYS0000033245										RedList_GB_post2001-LC														
millipede	Cylindroiulus latestriatus	(Curtis, 1845)		NBNSYS0000011393										RedList_GB_post2001-LC														
millipede	Cylindroiulus londinensis	(Leach, 1815)	sensu lato	NHMSYS0000528625										RedList_GB_post2001-LC			NS-includes											
millipede	Cylindroiulus parisiorum	(Brölemann & Verhoeff, 1896)		NBNSYS0000011396										RedList_GB_post2001-LC			NS-includes											
millipede	Cylindroiulus punctatus	(Leach, 1815)		NBNSYS0000011392										RedList_GB_post2001-LC														
millipede	Cylindroiulus salicivorus	Verhoeff, 1908		NHMSYS0000356246										RedList_GB_post2001-NA														
millipede	Cylindroiulus truncorum	(Silvestri, 1896)		NBNSYS0000011395										RedList_GB_post2001-NA														
millipede	Cylindroiulus vulnerarius	(Berlese, 1888)		NBNSYS0000011391										RedList_GB_post2001-NA														
millipede	Enantiulus armatus	(Ribaut, 1909)		NBNSYS0000011388										RedList_GB_post2001-LC			NR-includes											
millipede	Eutrichodesmus sp.		Eden A	NHMSYS0020977769										RedList_GB_post2001-NA														
millipede	Geoglomeris subterranea	Verhoeff, 1908		NHMSYS0000356252										RedList_GB_post2001-LC			NS-includes											
millipede	Glomeris marginata	(Villers, 1789)		NBNSYS0000011348										RedList_GB_post2001-LC														
millipede	Haplopodoiulus spathifer	(Brölemann, 1897)		NHMSYS0000356254										RedList_GB_post2001-NA														
millipede	Hylebainosoma nontronensis	Mauriès & Kime, 1999		NHMSYS0021118548										RedList_GB_post2001-DD			NR-includes											
millipede	Julus scandinavius	Latzel, 1884		NBNSYS0000011381										RedList_GB_post2001-LC														
millipede	Leptoiulus belgicus	(Latzel, 1844)		NBNSYS0000011383										RedList_GB_post2001-LC			NS-includes											
millipede	Leptoiulus kervillei	(Brölemann, 1896)		NBNSYS0000011384										RedList_GB_post2001-LC			NS-includes											
millipede	Macrosternodesmus palicola	Brölemann, 1908		NBNSYS0000011364										RedList_GB_post2001-LC														
millipede	Melogona gallica	(Latzel, 1884)		NBNSYS0000011355										RedList_GB_post2001-LC														
millipede	Melogona scutellaris	(Ribaut, 1913)		NHMSYS0020108475										RedList_GB_post2001-LC														
millipede	Melogona voigtii	(Verhoeff, 1899)		NHMSYS0021122426										RedList_GB_post2001-DD			NR-includes											
millipede	Metaiulus pratensis	Blower & Rolfe, 1956		NBNSYS0000039488										RedList_GB_post2001-EN			NR-includes		BAP-2007	England_NERC_S.41								
millipede	Nanogona polydesmoides	(Leach, 1814)		NHMSYS0020108477										RedList_GB_post2001-LC														
millipede	Nemasoma varicorne	C.L. Koch, 1847		NBNSYS0000011373										RedList_GB_post2001-LC														
millipede	Nopoiulus kochii	(Gervais, 1847)		NBNSYS0000011379										RedList_GB_post2001-LC			NS-includes											
millipede	Ommatoiulus sabulosus	(Linnaeus, 1758)		NBNSYS0000011385										RedList_GB_post2001-LC														
millipede	Ophiodesmus albonanus	(Latzel, 1895)		NHMSYS0000356287										RedList_GB_post2001-LC														
millipede	Ophyiulus pilosus	(Newport, 1842)		NBNSYS0000011382										RedList_GB_post2001-LC														
millipede	Oxidus gracilis	(C.L. Koch, 1847)		NBNSYS0000011363										RedList_GB_post2001-NA														
millipede	Paraspirobolus lucifugus	(Gervais, 1836)		NHMSYS0020108481										RedList_GB_post2001-NA														
millipede	Polydesmus angustus	Latzel, 1884		NBNSYS0000011367										RedList_GB_post2001-LC														
millipede	Polydesmus barberii	Latzel, 1889		NHMSYS0000356296										RedList_GB_post2001-NA														
millipede	Polydesmus coriaceus	Porat, 1871		NHMSYS0020108482										RedList_GB_post2001-LC														
millipede	Polydesmus denticulatus	C.L. Koch, 1847		NBNSYS0000011368										RedList_GB_post2001-LC														
millipede	Polydesmus inconstans	Latzel, 1884		NBNSYS0000011370										RedList_GB_post2001-LC														
millipede	Polyxenus lagurus	(Linnaeus, 1758)		NBNSYS0000011347										RedList_GB_post2001-LC														
millipede	Polyzonium germanicum	Brandt, 1837		NHMSYS0020108483										RedList_GB_post2001-LC			NS-includes		BAP-2007	England_NERC_S.41								
millipede	Poratia digitata	Porat, 1889		NHMSYS0020108484										RedList_GB_post2001-NA														
millipede	Propolydesmus testaceus	(C.L. Koch, 1847)		NHMSYS0020108486										RedList_GB_post2001-NT			NR-includes											
millipede	Prosopodesmus panporus	Blower & Rundle, 1980		NBNSYS0000011366										RedList_GB_post2001-NA														
millipede	Proteroiulus fuscus	(Am Stein, 1857)		NBNSYS0000011380										RedList_GB_post2001-LC														
millipede	Pseudospirobolellus avernus	(Butler, 1876)		NHMSYS0020977723										RedList_GB_post2001-NA														
millipede	Rhinotus purpureus	(Pocock, 1894)		NHMSYS0020977793										RedList_GB_post2001-NA														
